tgl,ot,lat,lon,depth,mag,remark
2008/11/07,16:04:27.451,-6.76,129.37,39,6.2,Banda Sea
2008/11/22,16:11:54.420,-4.17,101.43,10,6.2,Southern Sumatra
2008/11/22,16:01:00.895,-4.46,101.13,5,6.4,Southern Sumatra
2008/11/25,14:12:08.517,-3.77,113.26,10,6.4,Borneo
2008/12/06,10:55:26.662,-7.56,124.74,404,6.3,Banda Sea
2008/12/09,06:31:31.420,4.11,121.85,10,6.1,Celebes Sea
2008/12/09,04:46:02.385,3.94,107.73,10,6.3,South China Sea
2008/12/20,21:32:20.729,4.82,126.6,382,6.5,Talaud Islands
2008/12/25,03:20:30.505,5.74,125.66,211,6.4,Mindanao
2009/01/03,22:33:45.363,-0.82,133.41,51,7.5,Irian Jaya Region
2009/01/03,20:07:23.649,-0.25,133.77,178,6.1,Irian Jaya Region
2009/01/03,20:04:17.972,-0.37,133.64,10,6.5,Irian Jaya Region
2009/01/03,19:53:37.454,-0.77,132.04,10,6.9,Irian Jaya Region
2009/01/03,19:43:54.962,-0.54,132.89,17,7.9,Irian Jaya Region
2009/01/06,22:48:29.497,-0.81,133.47,10,6.1,Irian Jaya Region
2009/01/06,14:02:27.853,2.63,123.18,232,6.2,Celebes Sea
2009/02/11,18:05:15.731,0.54,125.53,10,6.1,Northern Molucca Sea
2009/02/11,17:49:18.606,4.73,126.85,10,6.6,Talaud Islands
2009/02/11,17:34:56.628,3.85,126.69,64,7.2,Talaud Islands
2009/02/12,13:15:12.503,3.96,126.75,71,6.2,Talaud Islands
2009/03/03,11:21:32.282,-3.23,114.76,177,6.2,Borneo
2009/03/16,14:15:59.343,3.73,126.85,61,6.3,Talaud Islands
2009/03/19,18:55:44.335,-3.83,113.77,10,6.1,Borneo
2009/04/04,05:32:01.308,5.04,127.11,88,6.4,Philippine Islands Region
2009/04/15,20:01:33.806,-3.25,100.35,13,6.4,Southern Sumatra
2009/04/19,05:23:32.167,4.03,126.81,67,6.1,Talaud Islands
2009/06/07,05:25:26.595,-8.58,118.43,105,6.2,Sumbawa Region
2009/07/15,09:58:06.055,-8.92,117.97,244,7.0,Sumbawa Region
2009/07/15,09:28:53.768,4.88,122.6,10,6.9,Celebes Sea
2009/08/02,08:54:38.415,-0.55,132.98,50,6.3,Irian Jaya Region
2009/08/16,07:38:22.867,-1.55,99.41,13,6.8,Southern Sumatra
2009/09/30,11:09:33.667,5.94,100.26,200,6.1,Malay Peninsula
2009/09/30,10:38:52.324,-0.81,99.84,69,6.3,Southern Sumatra
2009/09/30,10:31:06.177,-4.44,121.73,10,6.6,Sulawesi
2009/09/30,10:29:27.257,2.91,109.06,10,6.4,South China Sea
2009/09/30,10:16:10.432,-0.8,99.88,81,7.7,Southern Sumatra
2009/10/01,01:52:31.193,-2.54,101.48,18,6.8,Southern Sumatra
2009/10/07,21:41:14.570,4.32,122.56,579,6.2,Celebes Sea
2009/10/13,11:38:10.715,2.86,128.11,52,6.3,Halmahera
2009/10/15,12:11:17.578,-3.2,139.43,97,6.1,Irian Jaya
2009/10/16,09:52:50.093,-6.81,105.11,10,6.5,Sunda Strait
2009/10/24,14:40:47.131,-6.18,130.51,156,7.2,Banda Sea
2009/11/08,19:41:48.707,-8.33,118.7,38,6.7,Sumbawa Region
2009/11/09,10:53:41.462,4.33,108.27,10,6.2,South China Sea
2009/11/09,10:51:50.608,2.38,117.87,10,6.5,Borneo
2009/11/28,06:04:21.988,-10.67,118.85,10,6.1,South of Sumbawa
2009/12/23,01:11:59.598,-1.45,99.35,25,6.3,Southern Sumatra
2009/12/26,08:57:27.934,-5.36,131.41,100,6.3,Banda Sea
2010/02/11,18:43:09.342,-10.15,113.81,52,6.1,South of Java
2010/02/15,21:51:49.601,-7.49,128.8,134,6.4,Banda Sea
2010/03/05,16:07:03.165,-3.85,100.91,37,6.3,Southern Sumatra
2010/03/13,02:53:16.856,2.22,133.09,10,6.1,Irian Jaya Region
2010/03/14,00:57:47.860,-1.57,128.22,50,6.8,Halmahera
2010/04/05,10:05:49.500,-0.2,125.15,55,6.1,Southern Molucca Sea
2010/04/06,22:15:03.209,2.24,97.11,29,7.7,Northern Sumatra
2010/04/07,14:33:05.322,-3.84,141.92,28,6.2,New Guinea
2010/04/13,21:38:38.059,2.97,120.38,740,6.6,Celebes Sea
2010/04/24,07:41:04.748,-1.86,128.26,50,6.1,Halmahera
2010/08/03,12:08:28.920,1.28,126.39,57,6.2,Northern Molucca Sea
2011/01/17,19:20:57.121,-5.24,102.53,32,6.2,Southern Sumatra
2011/02/10,14:39:28.366,4.16,123.05,534,6.1,Celebes Sea
2011/02/15,13:33:55.037,-2.47,121.59,15,6.1,Sulawesi
2011/03/10,17:08:36.653,-7.01,116.79,519,6.2,Bali Sea
2011/04/03,20:06:40.568,-9.84,107.68,10,6.6,South of Java
2011/08/16,11:03:58.792,-2.21,128.11,45,6.3,Ceram Sea
2011/08/22,20:12:21.055,-6.48,103.93,28,6.1,Southwest of Sumatra
2011/08/30,06:57:41.680,-6.41,126.75,469,6.7,Banda Sea
2011/09/05,17:55:11.778,2.78,97.94,89,6.6,Northern Sumatra
2011/10/13,03:16:31.028,-9.71,114.49,73,6.4,South of Bali
2011/11/14,04:05:12.601,-0.96,126.93,18,6.5,Southern Molucca Sea
2011/12/13,07:52:12.645,-0.02,123.17,161,6.2,Minahassa Peninsula
2012/04/21,01:16:52.577,-1.64,134.39,12,6.6,Irian Jaya Region
2012/06/23,04:34:53.101,2.87,97.88,92,6.3,Northern Sumatra
2012/07/25,00:27:44.557,2.52,96.12,10,6.1,Northern Sumatra
2012/08/18,09:41:53.654,-1.26,120.13,10,6.2,Sulawesi
2012/08/26,15:05:38.123,2.21,126.83,94,6.6,Northern Molucca Sea
2013/04/06,04:42:36.262,-3.48,138.53,64,7.2,Irian Jaya
2013/04/20,04:51:12.345,-6.46,130.42,148,6.3,Banda Sea
2013/06/13,16:47:24.148,-9.94,107.22,10,6.8,South of Java
2013/07/02,07:37:05.839,4.59,96.66,15,6.1,Northern Sumatra
2013/07/02,03:47:50.116,0.43,123.94,302,6.4,Minahassa Peninsula
2013/07/06,05:05:08.234,-3.33,100.43,29,6.1,Southern Sumatra
2013/07/16,23:27:20.014,-6.5,126.34,423,6.4,Banda Sea
2013/07/24,02:56:27.324,1.34,117.43,10,6.2,Borneo
2013/07/30,01:28:10.731,1.22,102.04,146,6.4,Northern Sumatra
2013/07/31,08:19:31.119,-9.73,118.79,10,6.2,Sumbawa Region
2013/08/01,05:56:36.153,-9.72,132.88,269,6.1,Arafura Sea
2013/08/12,04:40:54.014,1.14,114.6,5,6.3,Borneo
2013/08/12,00:53:45.235,-7.3,129.88,106,6.1,Banda Sea
2013/08/15,13:14:38.354,-3.27,109.98,10,6.2,Java Sea
2013/08/19,04:38:04.766,-9.86,101.39,10,6.5,Southwest of Sumatra
2013/08/21,04:43:14.478,-8.09,116.16,11,6.3,Sumbawa Region
2013/08/22,06:58:29.559,-4.12,115.27,10,6.6,Java Sea
2013/08/22,05:57:58.414,-2.42,115.11,10,6.2,Borneo
2013/08/28,06:14:01.581,-0.32,120.53,10,6.1,Minahassa Peninsula
2013/09/01,11:52:32.400,-7.67,128.31,136,6.4,Banda Sea
2014/01/25,05:14:21.144,-8.22,109.22,79,6.2,Java
2014/07/14,08:00:02.108,5.72,126.51,50,6.1,Mindanao
2014/08/06,11:45:25.783,-7.32,128.16,20,6.2,Banda Sea
2014/12/21,11:34:14.406,2.11,126.65,45,6.3,Northern Molucca Sea
2015/02/27,13:45:04.937,-7.39,122.51,547,6.8,Flores Sea
2015/03/03,10:37:32.829,-0.74,98.77,47,6.1,Southern Sumatra
2015/03/17,22:12:30.292,1.72,126.51,64,6.2,Northern Molucca Sea
2015/07/27,21:41:21.882,-2.75,138.55,51,6.9,Irian Jaya
2015/09/16,07:40:59.507,1.92,126.57,51,6.3,Northern Molucca Sea
2015/09/24,15:53:30.381,-0.56,131.24,25,6.3,Irian Jaya Region
2015/11/04,03:44:16.528,-8.28,124.93,23,6.4,Timor Region
2015/12/09,10:21:51.450,-4.05,129.55,57,6.8,Banda Sea
2016/01/11,16:38:11.078,3.78,126.88,61,6.4,Talaud Islands
2016/02/12,10:02:25.952,-9.86,119.32,54,6.2,Sumba Region
2016/02/17,17:26:03.409,0.79,129.07,10,6.1,Halmahera
2016/03/02,12:49:47.458,-4.92,94.31,19,7.7,Southwest of Sumatra
2016/10/19,00:26:00.311,-4.98,108.16,614,6.3,Java Sea
2016/11/16,02:11:13.690,-2.39,110.24,163,6.4,Borneo
2016/12/05,01:13:04.952,-7.36,123.42,527,6.3,Banda Sea
2016/12/06,22:03:34.280,5.27,96.23,12,6.5,Northern Sumatra
2016/12/21,00:17:17.462,-7.62,127.88,183,6.5,Banda Sea
2016/12/29,22:30:20.063,-9.17,118.61,100,6.5,Sumbawa Region
2017/01/10,06:13:47.603,4.39,122.58,629,7.2,Celebes Sea
2017/04/28,20:23:17.828,5.45,125.0,10,7.1,Mindanao
2017/05/29,14:35:23.343,-1.29,120.44,11,6.6,Sulawesi
2017/08/13,03:08:13.468,-3.68,101.7,58,6.4,Southern Sumatra
2017/10/24,10:47:46.877,-7.3,123.04,552,6.7,Banda Sea
2017/10/31,11:50:53.512,-3.8,127.89,44,6.1,Seram
2017/12/15,16:47:58.325,-7.73,108.1,115,6.5,Java
2018/01/23,06:34:54.390,-7.13,106.04,46,6.1,Java
2018/02/14,06:56:38.252,-9.45,99.06,218,6.1,Southwest of Sumatra
2018/02/26,13:34:56.606,-2.69,126.84,25,6.2,Ceram Sea
2018/02/27,00:29:58.905,4.24,114.54,10,6.4,Borneo
2018/03/25,20:14:47.496,-6.73,129.73,172,6.8,Banda Sea
2018/07/28,22:47:38.491,-8.35,116.5,13,6.4,Sumbawa Region
2018/08/05,11:46:37.363,-8.35,116.47,32,6.8,Sumbawa Region
2018/08/17,15:35:02.197,-7.43,119.8,541,6.4,Flores Sea
2018/08/19,14:56:27.086,-8.37,116.7,18,6.9,Sumbawa Region
2018/08/19,04:10:23.215,-8.44,116.59,18,6.2,Sumbawa Region
2018/08/28,07:08:11.001,-10.86,124.06,10,6.2,Timor Region
2018/09/28,10:02:43.674,-0.22,119.85,10,7.5,Minahassa Peninsula
2018/12/01,13:27:22.028,-7.52,128.67,159,6.5,Banda Sea
2018/12/16,09:42:37.973,-3.93,140.37,74,6.1,Irian Jaya
2018/12/29,03:39:12.734,5.88,126.82,75,7.1,Mindanao
2019/01/06,17:27:20.659,2.34,126.75,56,6.6,Northern Molucca Sea
2019/01/22,05:10:03.838,-10.39,118.98,19,6.4,South of Sumbawa
2019/02/02,09:27:34.840,-2.88,100.03,20,6.1,Southern Sumatra
2019/03/24,04:37:35.252,1.72,126.39,47,6.1,Northern Molucca Sea
2019/04/06,21:55:01.794,-6.94,125.01,547,6.3,Banda Sea
2019/04/12,11:40:49.826,-1.89,122.53,10,6.9,Sulawesi
2019/06/19,17:24:54.171,-2.25,138.52,35,6.2,Irian Jaya
2019/06/24,02:53:40.523,-6.44,129.2,219,7.3,Banda Sea
2019/06/24,01:05:29.204,-2.66,138.69,38,6.1,Irian Jaya
2019/07/07,15:08:42.016,0.51,126.16,47,7.0,Northern Molucca Sea
2019/07/14,09:10:51.283,-0.54,128.1,17,7.2,Halmahera
2019/08/02,12:03:26.642,-7.27,104.79,55,6.9,Southwest of Sumatra
2019/09/19,07:06:33.660,-6.1,111.84,621,6.1,Java
2019/09/25,23:46:44.543,-3.42,128.45,10,6.6,Seram
2019/09/29,02:02:53.557,5.62,126.57,93,6.3,Mindanao
2019/11/14,16:17:43.444,1.66,126.37,62,7.1,Northern Molucca Sea
2019/11/23,12:11:16.160,1.64,132.86,10,6.1,Irian Jaya Region
2020/01/07,06:05:19.511,2.31,96.33,21,6.1,Northern Sumatra
2020/01/19,16:58:20.264,-0.1,123.86,129,6.2,Minahassa Peninsula
2020/02/05,18:12:35.205,-6.56,113.05,641,6.2,Java
2020/02/06,13:40:08.513,5.56,126.61,36,6.1,Mindanao
2020/03/26,15:38:04.668,5.71,125.22,63,6.1,Mindanao
2020/05/06,13:53:57.225,-6.92,129.89,132,6.9,Banda Sea
2020/06/04,08:49:40.617,2.92,128.21,117,6.4,Halmahera
2020/06/23,07:43:29.104,0.08,123.85,106,6.1,Minahassa Peninsula
2020/07/06,22:54:46.995,-5.73,110.63,537,6.1,Java Sea
2020/08/13,09:51:57.158,1.38,111.8,10,6.2,Borneo
2020/08/18,22:29:23.567,-4.45,100.97,23,7.1,Southwest of Sumatra
2020/08/18,22:23:59.559,-4.44,100.97,102,6.7,Southwest of Sumatra
2020/08/21,04:09:50.927,-6.84,123.48,663,6.7,Banda Sea
2020/09/08,00:45:21.637,-4.86,129.84,200,6.1,Banda Sea
2020/11/26,05:10:09.082,1.1,123.77,610,6.1,Minahassa Peninsula
2020/12/15,23:22:02.291,5.3,125.62,46,6.2,Mindanao
2021/01/06,20:59:36.071,0.07,123.02,169,6.2,Minahassa Peninsula
2021/01/14,18:28:20.239,-2.97,118.94,21,6.2,Sulawesi
2021/01/21,12:23:07.988,4.95,127.46,116,7.0,Talaud Islands
2021/02/10,12:52:28.550,-5.73,101.58,36,6.3,Southwest of Sumatra
2021/04/10,09:30:44.017,4.18,124.69,307,6.1,Celebes Sea
2021/04/10,07:00:16.851,-8.84,112.47,86,6.1,Java
2021/04/19,23:58:22.137,0.17,96.48,16,6.1,Off West Coast of Northern Sumatra
2021/05/14,06:33:08.811,0.18,96.66,10,6.7,Off West Coast of Northern Sumatra
2021/06/03,10:09:59.613,0.41,126.23,36,6.1,Northern Molucca Sea
2021/07/26,12:09:07.077,-0.74,121.95,11,6.3,Minahassa Peninsula
2021/12/04,23:47:57.589,4.07,128.06,168,6.1,North of Halmahera
2021/12/14,03:20:22.830,-7.59,122.23,10,7.3,Flores Sea
2021/12/29,18:25:53.213,-7.71,127.55,187,7.3,Banda Sea
2022/01/14,09:05:43.992,-6.9,105.27,61,6.6,Sunda Strait
2022/02/01,19:25:10.737,-7.82,128.43,148,6.1,Banda Sea
2022/02/25,01:39:29.120,0.14,99.93,10,6.1,Northern Sumatra
2022/03/13,21:09:21.791,-0.71,98.5,25,6.7,Southern Sumatra
2022/05/27,02:36:05.954,-8.63,127.15,53,6.4,Timor Region
2022/08/23,14:31:41.008,-5.18,102.99,63,6.3,Southern Sumatra
2022/08/29,03:29:14.470,-1.09,98.57,22,6.1,Southern Sumatra
2022/09/10,23:10:45.567,-1.14,98.68,25,6.2,Southern Sumatra
2022/09/10,00:05:16.748,-2.19,138.24,45,6.2,Irian Jaya
2022/09/23,20:53:00.610,3.78,96.05,51,6.2,Northern Sumatra
2022/11/18,13:37:08.043,-4.89,100.66,22,6.7,Southwest of Sumatra
2022/12/03,09:49:42.115,-7.33,107.55,119,6.1,Java
2023/01/09,17:47:34.171,-7.38,130.18,122,7.5,Tanimbar Islands Reg.
2023/01/15,22:30:03.048,1.97,97.91,47,6.2,Northern Sumatra
2023/01/18,06:06:16.115,2.82,127.04,69,7.0,Northern Molucca Sea
2023/01/18,00:34:46.442,-0.02,123.27,144,6.1,Minahassa Peninsula
